Date,MKT,SMB,HML,MOM,RF
20150518,0.44,0.74,-0.09,0.74,0
20150519,-0.09,-0.12,0.23,0.88,0
20150520,-0.05,0.22,-0.13,-0.2,0
20150521,0.23,-0.29,-0.02,-0.57,0
20150522,-0.22,-0.12,-0.14,0.3,0
20150526,-1.01,-0.02,-0.01,0.42,0
20150527,0.93,0.32,-0.35,0.83,0
20150528,-0.12,0.1,0.13,0.24,0
20150529,-0.58,0.02,0.06,0.13,0
20150601,0.17,-0.04,-0.22,0.43,0
20150602,-0.02,0.32,0.33,-0.88,0
20150603,0.39,0.86,-0.24,0.32,0
20150604,-0.88,-0.1,-0.01,0.16,0
20150605,0.06,0.8,0.05,-0.22,0
20150608,-0.66,0.05,0.03,-0.03,0
20150609,0.02,-0.31,0.35,-0.03,0
20150610,1.2,0.15,0.19,-0.09,0
20150611,0.21,-0.1,-0.11,0.45,0
20150612,-0.63,0.33,0.13,0.1,0
20150615,-0.45,0.1,-0.13,0.31,0
20150616,0.57,0.1,0,0.13,0
20150617,0.16,-0.29,-0.63,0.16,0
20150618,0.99,0.21,-0.43,0.84,0
20150619,-0.43,0.56,-0.2,0.4,0
20150622,0.63,0.08,-0.06,0.19,0
20150623,0.12,0.24,0.27,-0.27,0
20150624,-0.79,-0.11,0.13,0.01,0
20150625,-0.25,0.36,-0.2,0.91,0
20150626,-0.06,-0.23,0.45,0,0
20150629,-2.15,-0.42,0.18,0.28,0
20150630,0.33,0.31,-0.67,0.69,0
20150701,0.6,-0.77,-0.06,1.64,0
20150702,-0.11,-0.56,-0.04,-0.34,0
20150706,-0.37,0.16,-0.55,1.43,0
20150707,0.53,-0.44,-0.25,-0.43,0
20150708,-1.68,-0.03,0.07,0.57,0
20150709,0.29,0.16,-0.02,0.02,0
20150710,1.24,0.23,-0.55,1.14,0
20150713,1.14,-0.07,-0.42,0,0
20150714,0.47,0.15,0.13,-0.29,0
20150715,-0.19,-0.81,-0.08,1.35,0
20150716,0.78,-0.17,-0.62,0.76,0
20150717,0.05,-0.6,-0.64,-0.04,0
20150720,-0.01,-0.72,-0.57,1.39,0
20150721,-0.47,0.03,0.29,-0.38,0
20150722,-0.18,0.18,0.19,1.14,0
20150723,-0.6,-0.36,-0.35,-0.16,0
20150724,-1.08,-0.61,-0.02,1.06,0
20150727,-0.74,-0.25,0.08,0.23,0
20150728,1.23,-0.34,-0.11,-0.91,0
20150729,0.74,-0.36,0.52,-1.06,0
20150730,0.12,0.17,-0.26,0.24,0
20150731,-0.15,0.82,-0.99,1.25,0
20150803,-0.35,-0.33,-0.16,1.18,0
20150804,-0.14,0.09,-0.19,0.28,0
20150805,0.36,0.01,-0.45,0.87,0
20150806,-0.88,-0.53,1.99,-2.2,0
20150807,-0.36,-0.46,-0.35,1.13,0
20150810,1.32,0.16,0.69,-2.11,0
20150811,-0.98,-0.08,0.42,0.13,0
20150812,0.07,-0.1,-0.28,-1.04,0
20150813,-0.14,-0.43,0.02,1.39,0
20150814,0.43,0.13,0.43,0.21,0
20150817,0.6,0.44,-0.87,0.73,0
20150818,-0.35,-0.64,0.35,0.21,0
20150819,-0.85,-0.12,-0.22,1.24,0
20150820,-2.24,-0.28,0.6,-0.4,0
20150821,-2.95,1.82,0.14,-0.11,0
20150824,-3.9,0.34,-0.43,0,0
20150825,-1.17,0.69,-0.61,0.9,0
20150826,3.68,-1.36,-0.38,0.46,0
20150827,2.4,-0.68,0.6,-2.13,0
20150828,0.23,0.98,0.08,-1.62,0
20150831,-0.74,0.78,1.42,-1.81,0
20150901,-2.91,0.32,-0.5,0.88,0
20150902,1.81,-0.17,-0.93,1.05,0
20150903,0.17,-0.32,0.73,-0.73,0
20150904,-1.39,0.9,-0.58,0.73,0
20150908,2.52,-0.37,-0.56,0.9,0
20150909,-1.34,0.16,0.12,0.32,0
20150910,0.49,-0.13,-0.31,0.3,0
20150911,0.44,-0.2,-0.7,1.26,0
20150914,-0.41,0.03,0.01,0.48,0
20150915,1.22,-0.19,0.24,-0.38,0
20150916,0.84,0.02,0.44,-1.77,0
20150917,-0.17,0.89,-1.49,1.08,0
20150918,-1.62,0.46,-0.95,1.3,0
20150921,0.36,-0.93,1.2,-0.11,0
20150922,-1.29,-0.27,0.14,0.39,0
20150923,-0.27,-0.17,-0.15,2.01,0
20150924,-0.36,0.25,0.56,-0.56,0
20150925,-0.22,-1.66,1.87,-0.54,0
20150928,-2.63,-0.27,1.17,-0.27,0
20150929,-0.07,-0.72,0.71,-0.39,0
20150930,1.88,-0.43,-0.48,0.39,0
20151001,0.13,-0.45,-0.04,0.64,0
20151002,1.48,0.34,-0.84,-2.22,0
20151005,1.93,0.62,0.77,-2.04,0
20151006,-0.43,-0.23,1.73,-3.17,0
20151007,0.94,0.7,-0.24,-0.36,0
20151008,0.84,0.24,0.76,-1.54,0
20151009,0.12,0.21,-1.08,0.43,0
20151012,0.06,-0.4,-0.07,1.89,0
20151013,-0.74,-0.73,0.69,-0.22,0
20151014,-0.6,-0.26,-0.03,-0.74,0
20151015,1.56,0.65,-0.15,0.64,0
20151016,0.36,-0.49,-0.35,0.81,0
20151019,0,0.16,-0.71,1.34,0
20151020,-0.15,0.02,1.2,-1.06,0
20151021,-0.74,-0.87,-0.18,0.42,0
20151022,1.5,-0.78,0.47,-0.75,0
20151023,1.09,-0.02,-0.59,1,0
20151026,-0.2,-0.35,-0.72,1.78,0
20151027,-0.42,-0.87,-0.88,1.72,0
20151028,1.43,1.41,0.64,-0.7,0
20151029,-0.2,-0.88,0.1,-0.48,0
20151030,-0.41,0.22,-0.55,-1.05,0
20151102,1.25,0.85,-0.02,-1.02,0
20151103,0.32,0.45,0.22,-1.57,0
20151104,-0.26,0.34,-0.33,0.72,0
20151105,-0.08,0.03,0.46,1.07,0
20151106,0.14,0.81,0.28,0.35,0
20151109,-0.95,-0.21,-0.04,0.28,0
20151110,0.13,-0.01,0.27,0.91,0
20151111,-0.43,-0.52,-0.18,1.41,0
20151112,-1.45,-0.51,-0.45,0.68,0
20151113,-1.06,0.31,0.39,-0.58,0
20151116,1.39,-0.57,0.45,-1.04,0
20151117,-0.11,-0.12,-0.66,0.87,0
20151118,1.61,0,-0.09,-0.56,0
20151119,-0.13,-0.26,-0.11,0.23,0
20151120,0.35,0.43,-0.42,0.9,0
20151123,-0.01,0.66,-0.35,0.04,0
20151124,0.21,0.7,0.26,-1.33,0
20151125,0.09,0.87,-0.55,-0.04,0
20151127,0.09,0.22,-0.29,0.79,0
20151130,-0.47,0.14,0.69,-0.67,0
20151201,0.97,-0.66,0.24,0.47,0
20151202,-1.01,0.25,-0.7,0.98,0
20151203,-1.5,-0.22,0.43,-0.06,0
20151204,1.86,-1.04,-0.52,1.96,0
20151207,-0.84,-0.86,-0.66,0.69,0
20151208,-0.59,0.48,-1.23,1.06,0
20151209,-0.83,-0.33,0.42,-1.46,0
20151210,0.3,0.11,-0.22,-0.55,0
20151211,-2.03,-0.22,-0.06,0.45,0
