Date,Volume,Close,Average
13/06/16,8766300,97.57,97.84
14/06/16,6125700,98.400002,97.8650015
15/06/16,6663200,98.269997,98.595001
16/06/16,7129700,98.379997,97.744999
17/06/16,8959400,99,98.704998
20/06/16,8268600,99.57,100.2299995
21/06/16,5202500,98.82,99.279999
22/06/16,4948900,98.790001,99.16
23/06/16,5826100,99.019997,99.115002
24/06/16,15079900,95.720001,96.209999
27/06/16,9438400,94.379997,94.6150015
28/06/16,7143100,96.050003,95.709999
29/06/16,6563600,96.980003,96.785
30/06/16,7189500,97.82,97.4749985
01/07/16,5681600,98.029999,98.174999
05/07/16,5846400,97.660004,97.584999
06/07/16,6223300,98.449997,97.6399995
07/07/16,5146000,98.410004,98.0300025
08/07/16,6045800,99.620003,99.3099975
11/07/16,5428000,99.980003,99.875
12/07/16,8508500,100.199997,100.3950005
13/07/16,5494700,99.879997,100.3250005
14/07/16,7461500,99.970001,100.2400015
15/07/16,5764400,99.800003,100.040001
18/07/16,5051300,100.150002,100.290001
19/07/16,5742700,99.470001,99.6749995
20/07/16,10664900,98.220001,97.9150005
21/07/16,6726600,98.010002,98.375
22/07/16,5381700,97.709999,97.9449995
25/07/16,4825500,97.389999,97.654999
26/07/16,6274800,96.690002,96.75
27/07/16,6911400,96.330002,96.3950005
28/07/16,7713500,95.910004,96.154999
29/07/16,8264000,95.949997,96.1149975
01/08/16,7131600,95.540001,95.6399995
02/08/16,7644100,95.010002,95.154999
03/08/16,9068700,96.089996,95.715
04/08/16,10038300,95.160004,95.345001
05/08/16,6528500,95.830002,95.674999
08/08/16,7792000,95.75,95.9350015
09/08/16,15548700,96.669998,96.0750005
10/08/16,27181300,97.860001,97.5599975
11/08/16,9233900,97.769997,97.7700005
12/08/16,9360300,96.839996,97.240002
15/08/16,5299600,97.099998,97.2649995
16/08/16,5777800,96.879997,96.7599985
17/08/16,5697300,96.870003,96.744999
18/08/16,5250700,96.650002,96.835003
19/08/16,6362400,96.389999,96.420002
22/08/16,5495300,95.870003,96.0600015
23/08/16,4996300,95.970001,96.1150015
24/08/16,5912500,95.82,95.8650015
25/08/16,4518700,95.550003,95.615002
26/08/16,6019600,95.209999,95.4399985
29/08/16,7903000,94.870003,94.8899995
30/08/16,6845000,94.860001,95.029999
31/08/16,7375200,94.459999,94.530003
01/09/16,6274200,94.260002,94.3900035
02/09/16,5382000,94.419998,94.544998
06/09/16,8463500,93.800003,93.9399985
07/09/16,6281500,93.709999,93.6800005
08/09/16,7438100,94.089996,93.5699995
09/09/16,10248400,92.419998,93.0649985
12/09/16,9367300,93.639999,92.904999
13/09/16,7795200,92.699997,92.875
14/09/16,6386500,92.260002,92.4799995
15/09/16,7559400,92.5,91.970001
16/09/16,10568600,92.559998,92.2700005
19/09/16,5421500,92.629997,92.829998
20/09/16,6200100,92.949997,92.9900015
21/09/16,12049500,92.389999,92.3899995
22/09/16,6470700,93.410004,93.174999
